population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
130,33.868176676422586,59.561272697078884,39.75328194035601,550.0367260498826,126.17465014430014,0.7578786687532622,0.611764705882353,0.30840180827975067,0.0,20,33.9273982825443,48,19384.916693499363,5379.258205639277
130,33.870916402449986,58.84171540289281,40.21814426975687,559.0734764032788,133.4770404939427,0.7609489275592554,0.6352941176470588,0.30840180827975067,0.0,20,33.9273982825443,49,19661.84553860777,5595.922142560189
130,33.873656128477386,59.72888411556597,40.16091269542539,569.9812204092941,142.45249847845946,0.7638564600292925,0.6470588235294118,0.30840180827975067,0.0,20,33.9273982825443,50,19951.3178797926,5679.269988020445
130,33.876395854504786,59.37305306728589,41.03335110114988,577.7699072760219,149.970950220776,0.767811170183295,0.6470588235294118,0.30840180827975067,0.0,20,33.9273982825443,51,20272.179367446224,5984.121427170302
130,33.87913558053218,59.1593300053554,42.02613130277143,587.1506681651737,158.15561709051318,0.770291303960811,0.6705882352941176,0.30840180827975067,0.0,20,33.9273982825443,52,20600.391086921754,6054.930834836811
129,33.98569179300856,58.070265631423716,42.873131447878976,601.6349288679437,165.60065475264418,0.7705516413127644,0.6588235294117647,0.3050662215118823,0.0,21,33.28750067645363,53,20907.718015036997,5869.417236114598
129,33.98843151903596,58.581887572533304,42.949730311765535,611.1245205613577,175.4592707080452,0.7732205175112463,0.6352941176470588,0.3050662215118823,0.0,21,33.28750067645363,54,21256.34863092799,6241.916739954009
127,34.065028110926356,57.66941826397152,43.929435544636895,629.5246937718315,182.9421138862506,0.7732607785908536,0.6547619047619048,0.3037867450457052,0.0,23,32.94087107526316,55,21578.552565817154,5974.219961853046
127,34.067767836953756,57.6505965730847,43.803620967250446,640.7933148277924,191.43341842934635,0.774982487452005,0.6309523809523809,0.3037867450457052,0.0,23,32.94087107526316,56,21902.77248780467,6025.897176533327
126,34.13707755138901,56.819861532097946,44.34247879956952,657.2754614810573,200.8202324119258,0.7746251346592845,0.6190476190476191,0.3048462994609287,0.0,24,32.63844682311017,57,22222.706798180705,5972.645073020739
126,34.139817277416405,57.57502674752151,44.991016568597566,667.3454725901228,211.4954253553352,0.7765593510650926,0.6666666666666666,0.3048462994609287,0.0,24,32.63844682311017,58,22574.984058106405,6266.513251180763
126,34.142557003443805,57.44832707600124,45.051908650468405,677.029039754136,218.9843230608027,0.7790026406397459,0.6309523809523809,0.3048462994609287,0.0,24,32.63844682311017,59,22933.969972626805,6309.353990675995
125,34.249871225297326,57.044753059199344,45.47301659514001,691.2931965277443,228.42786991789745,0.7809433978591065,0.6666666666666666,0.3038380098357999,0.0,25,32.17584834023397,60,23297.893676282434,6380.3559029769285
123,34.23727860722633,57.65550738826153,44.706220371370584,713.7434452600683,240.80293254540476,0.7789201700065314,0.6144578313253012,0.30464716410725495,0.0,27,32.399529953059314,61,23664.76139015977,6382.622630044585
123,34.24001833325373,57.516520931421724,45.387961456757616,723.7680905927944,249.23324439560054,0.7810472130710586,0.6385542168674698,0.30464716410725495,0.0,27,32.399529953059314,62,24048.719552304472,6440.580349760715
123,34.24275805928113,56.759122546761915,46.11310817422254,734.4356361908854,257.9955523560812,0.7828236813155593,0.6506024096385542,0.30464716410725495,0.0,27,32.399529953059314,63,24439.0805821323,6454.971409258559
123,34.24549778530853,57.131311295658485,46.173603011907545,746.3342559368858,268.21564790877176,0.7844178804293451,0.6265060240963856,0.30464716410725495,0.0,27,32.399529953059314,64,24858.004192874945,6553.120761215428
